uri,cid,unittitle,unitdate,containers
/repositories/4/archival_objects/1442703,AC187_c00315,General,1972-1975,box 40 folder 5 
/repositories/4/archival_objects/1442704,AC187_c00316,A-Z (by Name),1972-1986,box 40 folder 6 
/repositories/4/archival_objects/1442705,AC187_c00317,African Studies,1977-1986,box 40 folder 7-8 
/repositories/4/archival_objects/1444651,AC187_c00319,1972-1987,1972-1987,box 40 folder 9-11 
/repositories/4/archival_objects/1444652,AC187_c00320,"Carter, Benny",1972-1974,box 40 folder 12 
/repositories/4/archival_objects/1442707,AC187_c00321,American Studies,1972-1987,box 40 folder 13 
/repositories/4/archival_objects/1442708,AC187_c00322,Applied and Computational Mathematics,1983-1987,box 41 folder 1 
/repositories/4/archival_objects/1442709,AC187_c00323,Chinese and Japanese Art and Archaeology,1972-1974,box 41 folder 2 
/repositories/4/archival_objects/1442710,AC187_c00324,Christian Gauss Seminars,1972-1984,box 41 folder 3 
/repositories/4/archival_objects/1442711,AC187_c00325,Comparative Literature,1972-1974,box 41 folder 4 
/repositories/4/archival_objects/1444653,AC187_c00327,1972-1987,1972-1987,box 41 folder 5-8 
/repositories/4/archival_objects/1444654,AC187_c00328,Behrman Awards,1975-1987,box 41 folder 9-10 
/repositories/4/archival_objects/1444655,AC187_c00329,Belknap Fellows,1985-1986,box 42 folder 1 
/repositories/4/archival_objects/1444656,AC187_c00330,Businessman-in-Residence Program,1975,box 42 folder 2 
/repositories/4/archival_objects/1444657,AC187_c00331,Center on Society and the Arts,1973-1974,box 42 folder 3 
/repositories/4/archival_objects/1444658,AC187_c00332,Chairmanships,1973-1981,box 42 folder 4 
/repositories/4/archival_objects/1444659,AC187_c00333,Hodder Fellowship,1973-1983,box 42 folder 5 
/repositories/4/archival_objects/1444660,AC187_c00334,Institute for Medieval and Renaissance Studies,1974-1984,box 42 folder 6 
/repositories/4/archival_objects/1444661,AC187_c00335,Interdepartmental Committee on,1973,box 42 folder 7 
/repositories/4/archival_objects/1444662,AC187_c00336,Senior Fellows Program,1984-1985,box 42 folder 8 
/repositories/4/archival_objects/1442713,AC187_c00337,Council on International and Regional Studies,1977-1986,box 42 folder 9-10 
