blank,file_uri,uri
,http://findingaids.princeton.edu/folders/MC104.3/c00338.mets,/repositories/3/digital_objects/42530
,http://findingaids.princeton.edu/folders/MC104.3/c00339.mets,/repositories/3/digital_objects/42531
,http://findingaids.princeton.edu/folders/MC104.3/c00340.mets,/repositories/3/digital_objects/42532
,http://findingaids.princeton.edu/folders/MC104.3/c00341.mets,/repositories/3/digital_objects/42533
,http://findingaids.princeton.edu/folders/MC104.3/c00342.mets,/repositories/3/digital_objects/42534
,http://findingaids.princeton.edu/folders/MC104.3/c00343.mets,/repositories/3/digital_objects/42535
,http://findingaids.princeton.edu/folders/MC104.3/c00344.mets,/repositories/3/digital_objects/42536
,http://findingaids.princeton.edu/folders/MC104.3/c00345.mets,/repositories/3/digital_objects/42537
,http://findingaids.princeton.edu/folders/MC104.3/c00346.mets,/repositories/3/digital_objects/42538
,http://findingaids.princeton.edu/folders/MC104.3/c00347.mets,/repositories/3/digital_objects/42539
,http://findingaids.princeton.edu/folders/MC104.3/c00348.mets,/repositories/3/digital_objects/42540
,http://findingaids.princeton.edu/folders/MC104.3/c00349.mets,/repositories/3/digital_objects/42541
,http://findingaids.princeton.edu/folders/MC104.3/c00350.mets,/repositories/3/digital_objects/42542
,http://findingaids.princeton.edu/folders/MC104.3/c00351.mets,/repositories/3/digital_objects/42543
,http://findingaids.princeton.edu/folders/MC104.3/c00352.mets,/repositories/3/digital_objects/42544
,http://findingaids.princeton.edu/folders/MC104.3/c00353.mets,/repositories/3/digital_objects/42545
,http://findingaids.princeton.edu/folders/MC104.3/c00354.mets,/repositories/3/digital_objects/42546
,http://findingaids.princeton.edu/folders/MC104.3/c00355.mets,/repositories/3/digital_objects/42547
,http://findingaids.princeton.edu/folders/MC104.3/c00356.mets,/repositories/3/digital_objects/42548
,http://findingaids.princeton.edu/folders/MC104.3/c00357.mets,/repositories/3/digital_objects/42549
,http://findingaids.princeton.edu/folders/MC104.3/c00358.mets,/repositories/3/digital_objects/42550
,http://findingaids.princeton.edu/folders/MC104.3/c00359.mets,/repositories/3/digital_objects/42551
,http://findingaids.princeton.edu/folders/MC104.3/c00360.mets,/repositories/3/digital_objects/42552
,http://findingaids.princeton.edu/folders/MC104.3/c00361.mets,/repositories/3/digital_objects/42553
,http://findingaids.princeton.edu/folders/MC104.3/c00362.mets,/repositories/3/digital_objects/42554
,http://findingaids.princeton.edu/folders/MC104.3/c00363.mets,/repositories/3/digital_objects/42555
,http://findingaids.princeton.edu/folders/MC104.3/c00364.mets,/repositories/3/digital_objects/42556
,http://findingaids.princeton.edu/folders/MC104.3/c00365.mets,/repositories/3/digital_objects/42557
,http://findingaids.princeton.edu/folders/MC104.3/c00366.mets,/repositories/3/digital_objects/42558
,http://findingaids.princeton.edu/folders/MC104.3/c00367.mets,/repositories/3/digital_objects/42559
,http://findingaids.princeton.edu/folders/MC104.3/c00368.mets,/repositories/3/digital_objects/42560
,http://findingaids.princeton.edu/folders/MC104.3/c00369.mets,/repositories/3/digital_objects/42561
,http://findingaids.princeton.edu/folders/MC104.3/c00370.mets,/repositories/3/digital_objects/42562
,http://findingaids.princeton.edu/folders/MC104.3/c00371.mets,/repositories/3/digital_objects/42563
,http://findingaids.princeton.edu/folders/MC104.3/c01347.mets,/repositories/3/digital_objects/42573
,http://findingaids.princeton.edu/folders/MC104.3/c01348.mets,/repositories/3/digital_objects/42574
,http://findingaids.princeton.edu/folders/MC104.3/c01351.mets,/repositories/3/digital_objects/42575
,http://findingaids.princeton.edu/folders/MC104.3/c01353.mets,/repositories/3/digital_objects/42576
,http://findingaids.princeton.edu/folders/MC104.3/c01354.mets,/repositories/3/digital_objects/42577
,http://findingaids.princeton.edu/folders/MC104.3/c01355.mets,/repositories/3/digital_objects/42578
,http://findingaids.princeton.edu/folders/MC104.3/c01356.mets,/repositories/3/digital_objects/42579
,http://findingaids.princeton.edu/folders/MC104.3/c01357.mets,/repositories/3/digital_objects/42580
,http://findingaids.princeton.edu/folders/MC104.3/c01358.mets,/repositories/3/digital_objects/42581
,http://findingaids.princeton.edu/folders/MC104.3/c01359.mets,/repositories/3/digital_objects/42582
,http://findingaids.princeton.edu/folders/MC104.3/c01360.mets,/repositories/3/digital_objects/42583
,http://findingaids.princeton.edu/folders/MC104.3/c01361.mets,/repositories/3/digital_objects/42584
